address,incident_edges,betweenness_centrality
0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,7606,5.99633e+07
0xd34da389374caad1a048fbdc4569aae33fd5a375,5016,5.58665e+07
0x2a65aca4d5fc5b5c859090a6c34d164135398226,7337,3.07554e+07
0xea674fdde714fd979de3edf0f56aa9716b898ec8,9088,3.00232e+07
0x61c808d82a3ac53231750dadc13c777b59310bd9,2857,2.93922e+07
0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,4156,2.25563e+07
0x7ed1e469fcb3ee19c0366d829e291451be638e59,787,2.12697e+07
0x27bebc44c6f60f99d558422288d616ee15dcb36d,1681,1.70188e+07
0xfa52274dd61e1643d2205169732f29114bc240b3,1399,1.53425e+07
0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,460,1.45901e+07
0x8b2232c5006a7c9bcb7b52d07ad429bb71ae2c1c,359,1.40082e+07
0x9a2c74993b3531044834ae0bd69246dca461fcc4,183,1.19307e+07
0x1e9939daaad6924ad004c2560e90804164900341,3374,1.15017e+07
0xa42af2c70d316684e57aefcc6e393fecb1c7e84e,1443,1.10126e+07
0x1c39ba39e4735cb65978d4db400ddd70a72dc750,477,1.03733e+07
0xb2930b35844a230f00e51431acae96fe543a0347,800,9.87985e+06
0x517c265f45eac01389dbb3045206c1d07c7a178c,486,8.29259e+06
0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,883,8.07095e+06
0xf89795dbfcef7f6285b660d8c847c56c75a39d2e,4,7.62691e+06
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,181,7.19001e+06
0x02459d2ea9a008342d8685dae79d213f14a87d43,108,6.59188e+06
0x1be045433b82a890351573023350a913c5e55bac,4,6.00794e+06
0xfbe26da0e985087d28228defbdaa394713b0865f,149,5.52118e+06
0x96fc4553a00c117c5b0bed950dd625d1c16dc894,266,5.37122e+06
0x48c80f1f4d53d5951e5d5438b54cba84f29f32a5,378,4.99612e+06
0x9c67e141c0472115aa1b98bd0088418be68fd249,311,4.97813e+06
0xa8f769b88d6d74fb2bd3912f6793f75625228baf,489,4.28549e+06
0x32be343b94f860124dc4fee278fdcbd38c102d88,733,4.23598e+06
0x999d1ce359692aebc26cd969a31d47d150128600,164,4.19238e+06
0x8f00dfa45e284fe39223a78518475484063c6494,4,3.43674e+06
0x304cc179719bc5b05418d6f7f6783abe45d83090,55,3.18179e+06
0x37a9679c41e99db270bda88de8ff50c0cd23f326,8745,2.89502e+06
0x00a63d34051602b2cb268ea344d4b8bc4767f2d4,70,2.78037e+06
0xa027231f42c80ca4125b5cb962a21cd4f812e88f,250,2.76872e+06
0x6c7f03ddfdd8a37ca267c88630a4fee958591de0,1938,2.66175e+06
0x6704fd75f9562b50211b8aa498ab8a3c24c883a3,64,2.58152e+06
0xaa5948b57dffbe5708b8cfed60aeb5a94b9f771a,4,2.48553e+06
0xff8c0630fcfe5f5539e046e70cf87361638d8448,95,2.42365e+06
0x3c489453ad79db94cdd8f6a2566e0ecc1947dbdd,7,2.35547e+06
0xc70a9fb33bd707564b073a326935d8bd781bc9f4,4,2.2333e+06
0x880dff797c2a54debc841774b1747ec24d2a567b,4,2.21605e+06
0xf6aa7dc48d8afecb479365efedcc25661e5a37a3,2,2.08392e+06
0x34faaa028162c4d4e92db6abfa236a8e90ff2fc3,46,2.07279e+06
0xaa2876412bc2c2b27f423ee3a2aaac360d2601d0,137,2.05336e+06
0xb9cf2da90bdff1bc014720cc84f5ab99d7974eba,45,2.00938e+06
0x57b174839cbd0a503b9dfcb655e4f4b1b47b3296,50,1.95616e+06
0xe19ffb70e148a76d26698036a9ffd22057967d1b,44,1.93899e+06
0x7fb21ac4cd75d9de3e1c5d11d87bb904c01880fc,44,1.9263e+06
0xde088812a9c5005b0dc8447b37193c9e8b67a1ff,44,1.9263e+06
0x6c339bb3c904d0f663bdef66e08a0d8ffaa7466d,3,1.89134e+06
,210,1.86977e+06
0x3509f7bd9557f8a9b793759b3e3bfa2cd505ae31,43,1.86564e+06
0xc1c427cd8e6b7ee3b5f30c2e1d3f3c5536ec16f5,43,1.86561e+06
0xc6f31a79526c641de4e432cb22a88bb577a67eac,43,1.8342e+06
0x0064454b14cddc990ed6520ef94d3e28fe7c41b6,90,1.80211e+06
0x81ff52c7cb21cdcffeb4a15f2c48a902b82dbdd5,9,1.79625e+06
0x593c97a298bacbdfcf1a820772bdb2fd564a7a1b,27,1.79535e+06
0x49754511407aea93ea779ce1eae0ca7e10c51c20,66,1.77944e+06
0xf90c9ac616ecfefb3860aaa5bc33caf9bc606441,436,1.76611e+06
0xa2a8f158aed54ce9a73d41eeec23bf3a51b5654d,36,1.71497e+06
0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,1023,1.6938e+06
0x7727e5113d1d161373623e5f49fd568b4f543a9e,237,1.69078e+06
0x707cc89694219eac044ed2ff3bd2bbf7705cc4c8,120,1.67965e+06
0x85c1d0385468506b24fe33c4803d26f1a77d783e,3,1.67107e+06
0x7ae1096ca561c8639c250f5af18e9c2eb455046f,4,1.65243e+06
0x3c0aab77940d82dd73d6eb2a67682e0c4095e0ad,212,1.6342e+06
0x4092072c3cd4177eb03caf5f8895bb8bedcd54c3,48,1.6066e+06
0xc9d4901566406acfbbe50b71c87a4a619066ace5,7,1.59998e+06
0x83aff5162a71932153fd907414b695b1f3d068bc,8,1.51442e+06
