address,incident_edges,betweenness_centrality
0xcc8c0432ad2d85991b4f4b5cf6e5209d6aeb2baa,4,17
0x9f6725c5fba117c5f27f5a31cbd902d4b3af6458,4,12.5
0x80aa81029df9afdc70a621c86d7a81d7e9ed7e3a,3,9.5
0x026547975a4d16043a9effe63c079bca92087ac6,2,4
0xc1aced320a22ea96164fb660291900f9630fded5,3,4
0xc62c8adc0c949ecb5e137329083424534dd87d13,2,3
0xa0c8a37d2d429d102dbb638cb50b33c931258647,2,1
0x21d13cc5bc168a51d8469ed223e18d57f0bb9bd1,1,0
0x5eb438afd79e9b8233e3be0f5b4b8144bda8efb5,1,0
0x509c872654a041893531be535fea935e70fdb7ef,2,0
